,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
0,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
1,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
2,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
12,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
13,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
14,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
27,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
28,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
29,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
30,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
31,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
33,HP,Chromebook,14.0,Gray,64.0,Celeron,4.0,Chrome OS,Integrated,Integrated,3.8,209.99,0,0,0,0,0
35,Dell,Inspiron,15.6,Black,1000.0,Celeron,16.0,Windows 11,Integrated,Unknown,4.1,439.0,0,0,0,0,0
41,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
42,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
43,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
55,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
56,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
57,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
58,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
59,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
62,Lenovo,Chromebook,11.6,Black,32.0,MediaTek MT8183,4.0,Chrome OS,Integrated,Unknown,4.3,114.74,0,0,1,0,0
69,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
70,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
71,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
74,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,16.0,Windows 11,Integrated,Integrated,4.1,553.0,0,0,1,0,0
75,Dell,Latitude,14.0,Black,512.0,Intel Core i7,16.0,Windows 10 Pro,Integrated,Unknown,4.0,399.0,0,0,0,0,0
77,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
78,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
